WGT,WGT^2,WGT^3,WGT^4,WGT^5,WGT^6,WGT^7,WGT^8,ALT,ALT^2,ALT^3,ALT^4,ALT^5,ALT^6,ALT^7,ALT^8,ROC
2214249.369,4.9029E+12,1.08562E+19,2.40384E+25,5.32271E+31,1.17858E+38,2.60967E+44,5.77846E+50,17080,291726400,4.98269E+12,8.51043E+16,1.45358E+21,2.48272E+25,4.24048E+29,7.24274E+33,1986
2212994.853,4.89735E+12,1.08378E+19,2.3984E+25,5.30765E+31,1.17458E+38,2.59934E+44,5.75232E+50,18259,333391081,6.08739E+12,1.1115E+17,2.02948E+21,3.70563E+25,6.76611E+29,1.23542E+34,1893
2211711.91,4.89167E+12,1.0819E+19,2.39284E+25,5.29228E+31,1.1705E+38,2.58881E+44,5.7257E+50,19439,377874721,7.34551E+12,1.42789E+17,2.77568E+21,5.39565E+25,1.04886E+30,2.03888E+34,1800
2210397.621,4.88586E+12,1.07997E+19,2.38716E+25,5.27657E+31,1.16633E+38,2.57806E+44,5.69854E+50,20619,425143161,8.76603E+12,1.80747E+17,3.72682E+21,7.68432E+25,1.58443E+30,3.26694E+34,1709
2209050.026,4.8799E+12,1.07799E+19,2.38134E+25,5.26051E+31,1.16207E+38,2.56708E+44,5.6708E+50,21799,475196401,1.03588E+13,2.25812E+17,4.92247E+21,1.07305E+26,2.33914E+30,5.09909E+34,1620
2207664.223,4.87378E+12,1.07597E+19,2.37537E+25,5.24403E+31,1.15771E+38,2.55583E+44,5.6424E+50,22979,528034441,1.21337E+13,2.7882E+17,6.40701E+21,1.47227E+26,3.38312E+30,7.77408E+34,1531
2206235.313,4.86747E+12,1.07388E+19,2.36923E+25,5.22708E+31,1.15322E+38,2.54427E+44,5.61325E+50,24159,583657281,1.41006E+13,3.40656E+17,8.2299E+21,1.98826E+26,4.80344E+30,1.16046E+35,1444
2204757.413,4.86096E+12,1.07172E+19,2.36289E+25,5.2096E+31,1.14859E+38,2.53236E+44,5.58324E+50,25339,642064921,1.62693E+13,4.12247E+17,1.04459E+22,2.6469E+26,6.70697E+30,1.69948E+35,1357
2203224.643,4.8542E+12,1.06949E+19,2.35632E+25,5.19151E+31,1.14381E+38,2.52006E+44,5.55227E+50,26519,703257361,1.86497E+13,4.94571E+17,1.31155E+22,3.47811E+26,9.22359E+30,2.446E+35,1264
2201624.259,4.84715E+12,1.06716E+19,2.34949E+25,5.17268E+31,1.13883E+38,2.50728E+44,5.52008E+50,27699,767234601,2.12516E+13,5.88649E+17,1.6305E+22,4.51632E+26,1.25098E+31,3.46508E+35,1172
2199947.441,4.83977E+12,1.06472E+19,2.34234E+25,5.15302E+31,1.13364E+38,2.49394E+44,5.48654E+50,28879,833996641,2.4085E+13,6.9555E+17,2.00868E+22,5.80087E+26,1.67523E+31,4.8379E+35,1081
2198179.485,4.83199E+12,1.06216E+19,2.33482E+25,5.13234E+31,1.12818E+38,2.47995E+44,5.45136E+50,30059,903543481,2.71596E+13,8.16391E+17,2.45399E+22,7.37645E+26,2.21729E+31,6.66494E+35,991
2196291.963,4.8237E+12,1.05942E+19,2.32681E+25,5.11035E+31,1.12238E+38,2.46508E+44,5.41403E+50,31239,975875121,3.04854E+13,9.52332E+17,2.97499E+22,9.29357E+26,2.90322E+31,9.06937E+35,887
2194248.627,4.81473E+12,1.05647E+19,2.31816E+25,5.08662E+31,1.11613E+38,2.44907E+44,5.37386E+50,32418,1050926724,3.40689E+13,1.10445E+18,3.5804E+22,1.16069E+27,3.76273E+31,1.2198E+36,787
2194248.627,4.81473E+12,1.05647E+19,2.31816E+25,5.08662E+31,1.11613E+38,2.44907E+44,5.37386E+50,32418,1050926724,3.40689E+13,1.10445E+18,3.5804E+22,1.16069E+27,3.76273E+31,1.2198E+36,1146
2194012.315,4.81369E+12,1.05613E+19,2.31716E+25,5.08388E+31,1.11541E+38,2.44722E+44,5.36924E+50,32607,1063216449,3.46683E+13,1.13043E+18,3.68599E+22,1.20189E+27,3.91901E+31,1.27787E+36,1126
2193774.063,4.81264E+12,1.05579E+19,2.31615E+25,5.08112E+31,1.11468E+38,2.44536E+44,5.36457E+50,32795,1075512025,3.52714E+13,1.15673E+18,3.79348E+22,1.24407E+27,4.07994E+31,1.33802E+36,1106
2193531.87,4.81158E+12,1.05544E+19,2.31513E+25,5.07832E+31,1.11394E+38,2.44347E+44,5.35984E+50,32984,1087944256,3.58848E+13,1.18362E+18,3.90406E+22,1.28772E+27,4.2474E+31,1.40096E+36,1086
2193287.738,4.81051E+12,1.05508E+19,2.3141E+25,5.07549E+31,1.1132E+38,2.44157E+44,5.35507E+50,33172,1100381584,3.65019E+13,1.21084E+18,4.0166E+22,1.33239E+27,4.41979E+31,1.46613E+36,1065
2193040.645,4.80943E+12,1.05473E+19,2.31306E+25,5.07263E+31,1.11245E+38,2.43965E+44,5.35024E+50,33361,1112956321,3.71293E+13,1.23867E+18,4.13233E+22,1.37859E+27,4.59911E+31,1.53431E+36,1044
2192790.633,4.80833E+12,1.05437E+19,2.312E+25,5.06974E+31,1.11169E+38,2.4377E+44,5.34536E+50,33549,1125535401,3.77606E+13,1.26683E+18,4.25009E+22,1.42586E+27,4.78362E+31,1.60486E+36,1023
2192536.679,4.80722E+12,1.054E+19,2.31093E+25,5.06681E+31,1.11092E+38,2.43572E+44,5.34041E+50,33738,1138252644,3.84024E+13,1.29562E+18,4.37116E+22,1.47474E+27,4.97548E+31,1.67863E+36,1001
2192278.826,4.80609E+12,1.05363E+19,2.30985E+25,5.06383E+31,1.11013E+38,2.43372E+44,5.33539E+50,33926,1150973476,3.90479E+13,1.32474E+18,4.49431E+22,1.52474E+27,5.17283E+31,1.75494E+36,979
2192018.012,4.80494E+12,1.05325E+19,2.30875E+25,5.06082E+31,1.10934E+38,2.43169E+44,5.33032E+50,34115,1163833225,3.97042E+13,1.35451E+18,4.6209E+22,1.57642E+27,5.37796E+31,1.83469E+36,956
