// NON PREADJUSTED,,,,
WGT,WGT^2,ALT,ALT^2,ROC
1788639.932,3.19923E+12,39579,1566497241,618
1788464.136,3.19860E+12,39684,1574819856,602
1788283.429,3.19796E+12,39789,1583164521,586
1788098.793,3.19730E+12,39895,1591611025,570
1787910.229,3.19662E+12,40000,1600000000,553
1566046.01,2.45250E+12,40000,1600000000,947
1565877.162,2.45197E+12,40158,1612664964,926
1565705.368,2.45143E+12,40316,1625379856,904
1565530.629,2.45089E+12,40474,1638144676,883
1565352.945,2.45033E+12,40632,1650959424,860
1565171.335,2.44976E+12,40789,1663742521,838
1564986.78,2.44918E+12,40947,1676656809,815
1564798.298,2.44859E+12,41105,1689621025,792
1564604.908,2.44799E+12,41263,1702635169,768
1564407.591,2.44737E+12,41421,1715699241,745
1564204.384,2.44674E+12,41579,1728813241,720
1563996.269,2.44608E+12,41737,1741977169,696
1563782.263,2.44541E+12,41895,1755191025,671
1563562.368,2.44473E+12,42053,1768454809,645
1563334.62,2.44402E+12,42211,1781768521,619
1563099.018,2.44328E+12,42368,1795047424,593
1562854.582,2.44251E+12,42526,1808460676,566
1562600.328,2.44172E+12,42684,1821923856,539
1562334.295,2.44089E+12,42842,1835436964,511
1562056.482,2.44002E+12,43000,1849000000,483
1926554.974,3.71161E+12,35,1225,2804
1926380.353,3.71094E+12,198,39204,2796
1926205.733,3.71027E+12,361,130321,2788
1926032.112,3.70960E+12,523,273529,2779
1925857.493,3.70893E+12,686,470596,2771
1925683.855,3.70826E+12,849,720801,2763
1925510.218,3.70759E+12,1012,1024144,2755
1925335.619,3.70692E+12,1174,1378276,2747
1925161.982,3.70625E+12,1337,1787569,2738
1924988.347,3.70558E+12,1500,2250000,2730
1923618.377,3.70031E+12,1500,2250000,3698
1923274.769,3.69899E+12,1947,3790809,3669
1922932.125,3.69767E+12,2395,5736025,3640
1922589.503,3.69635E+12,2842,8076964,3611
1922246.884,3.69503E+12,3289,10817521,3582
1921904.25,3.69372E+12,3737,13965169,3552
1921562.617,3.69240E+12,4184,17505856,3522
1921219.988,3.69109E+12,4632,21455424,3492
1920878.361,3.68977E+12,5079,25796241,3461
1920535.757,3.68846E+12,5526,30536676,3428
1920194.117,3.68715E+12,5974,35688676,3396
1919851.519,3.68583E+12,6421,41229241,3362
1919508.923,3.68451E+12,6868,47169424,3328
1919166.312,3.68320E+12,7316,53523856,3294
1918823.722,3.68188E+12,7763,60264169,3260
1918480.136,3.68057E+12,8211,67420521,3225
1918135.59,3.67924E+12,8658,74960964,3190
1917791.048,3.67792E+12,9105,82901025,3154
1917446.49,3.67660E+12,9553,91259809,3118
1917100.973,3.67528E+12,10000,100000000,3082
1916141.974,3.67160E+12,10000,100000000,3115
1915160.236,3.66784E+12,11241,126360081,3001
1914167.734,3.66404E+12,12482,155800324,2885
1913162.509,3.66019E+12,13723,188320729,2767
1912143.58,3.65629E+12,14964,223921296,2647
1911108.987,3.65234E+12,16205,262602025,2528
1910057.75,3.64832E+12,17446,304362916,2419
1908986.928,3.64423E+12,18687,349203969,2309
1907896.54,3.64007E+12,19927,397085329,2198
1906781.648,3.63582E+12,21168,448084224,2093
1905643.251,3.63148E+12,22409,502163281,1987
1904475.468,3.62703E+12,23650,559322500,1882
1903276.339,3.62246E+12,24891,619561881,1779
1902039.982,3.61776E+12,26132,682881424,1669
1900761.496,3.61289E+12,27373,749281129,1559
1899435.002,3.60785E+12,28614,818760996,1451
1898051.676,3.60260E+12,29855,891321025,1344
1896598.777,3.59709E+12,31096,966961216,1222
1895058.66,3.59125E+12,32337,1045681569,1107
1893412.702,3.58501E+12,33578,1127482084,999
1893412.702,3.58501E+12,33578,1127482084,1463
1893191.842,3.58418E+12,33810,1143116100,1439
1892969.985,3.58334E+12,34043,1158925849,1414
1892746.169,3.58249E+12,34276,1174844176,1389
1892519.413,3.58163E+12,34509,1190871081,1364
1892291.695,3.58077E+12,34741,1206937081,1339
1892061.019,3.57989E+12,34974,1223180676,1313
1891827.403,3.57901E+12,35207,1239532849,1279
1891589.867,3.57811E+12,35440,1255993600,1243
1891349.409,3.57720E+12,35672,1272491584,1207
1891104.032,3.57627E+12,35905,1289169025,1171
1890841.991,3.57528E+12,36138,1305955044,1028
1890561.325,3.57422E+12,36371,1322849641,995
1890273.816,3.57314E+12,36603,1339779609,961
1889980.409,3.57203E+12,36836,1356890896,926
1889678.179,3.57088E+12,37069,1374110761,891
1889369.089,3.56972E+12,37302,1391439204,855
1889049.235,3.56851E+12,37534,1408801156,819
1888719.561,3.56726E+12,37767,1426346289,781
1888378.125,3.56597E+12,38000,1444000000,743
1783273.366,3.18006E+12,38000,1444000000,887
1783138.253,3.17958E+12,38105,1451991025,869
1783002.142,3.17910E+12,38211,1460080521,852
1782864.089,3.17860E+12,38316,1468115856,834
1782723.095,3.17810E+12,38421,1476173241,816
1782581.121,3.17760E+12,38526,1484252676,798
1782436.189,3.17708E+12,38632,1492431424,779
1782288.333,3.17655E+12,38737,1500555169,761
1782137.537,3.17601E+12,38842,1508700964,742
1781984.781,3.17547E+12,38947,1516868809,723
1781829.067,3.17491E+12,39053,1525136809,706
1781670.43,3.17435E+12,39158,1533348964,692
1781508.852,3.17377E+12,39263,1541583169,677
1781344.333,3.17319E+12,39368,1549839424,662
1781176.857,3.17259E+12,39474,1558196676,646
1781006.457,3.17198E+12,39579,1566497241,631
1780832.137,3.17136E+12,39684,1574819856,615
1780653.895,3.17073E+12,39789,1583164521,599
1780471.716,3.17008E+12,39895,1591611025,583
1780286.614,3.16942E+12,40000,1600000000,567
1565922.728,2.45211E+12,40000,1600000000,948
1565751.751,2.45158E+12,40158,1612664964,926
1565577.834,2.45103E+12,40316,1625379856,905
1565400.977,2.45048E+12,40474,1638144676,883
1565221.18,2.44992E+12,40632,1650959424,861
1565038.457,2.44935E+12,40789,1663742521,838
1564851.798,2.44876E+12,40947,1676656809,816
1564660.239,2.44816E+12,41105,1689621025,792
1564465.74,2.44755E+12,41263,1702635169,769
1564266.339,2.44693E+12,41421,1715699241,745
1564061.058,2.44629E+12,41579,1728813241,721
1563851.856,2.44563E+12,41737,1741977169,696
1563635.793,2.44496E+12,41895,1755191025,671
1563413.849,2.44426E+12,42053,1768454809,646
1563184.064,2.44354E+12,42211,1781768521,620
1562946.452,2.44280E+12,42368,1795047424,594
1562700.003,2.44203E+12,42526,1808460676,567
1562443.753,2.44123E+12,42684,1821923856,540
1562176.72,2.44040E+12,42842,1835436964,512
1561896.945,2.43952E+12,43000,1849000000,484
1277099.989,1.63098E+12,35,1225,4195
1276984.24,1.63069E+12,198,39204,4186
1276868.491,1.63039E+12,361,130321,4177
1276753.736,1.63010E+12,523,273529,4169
1276637.989,1.62980E+12,686,470596,4160
1276523.222,1.62951E+12,849,720801,4151
1276408.456,1.62922E+12,1012,1024144,4142
1276293.702,1.62893E+12,1174,1378276,4133
1276178.936,1.62863E+12,1337,1787569,4124
1276065.152,1.62834E+12,1500,2250000,4115
1275027.623,1.62570E+12,1500,2250000,5955
1274814.273,1.62515E+12,1947,3790809,5914
1274600.912,1.62461E+12,2395,5736025,5872
1274388.546,1.62407E+12,2842,8076964,5831
1274176.181,1.62352E+12,3289,10817521,5789
1273963.807,1.62298E+12,3737,13965169,5746
1273752.427,1.62245E+12,4184,17505856,5703
1273541.036,1.62191E+12,4632,21455424,5660
1273329.66,1.62137E+12,5079,25796241,5616
1273118.285,1.62083E+12,5526,30536676,5569
1272907.88,1.62029E+12,5974,35688676,5521
1272696.509,1.61976E+12,6421,41229241,5474
1272486.121,1.61922E+12,6868,47169424,5425
1272275.722,1.61869E+12,7316,53523856,5376
1272065.336,1.61815E+12,7763,60264169,5327
1271854.941,1.61761E+12,8211,67420521,5276
1271644.559,1.61708E+12,8658,74960964,5226
1271433.199,1.61654E+12,9105,82901025,5175
1271222.809,1.61601E+12,9553,91259809,5123
1271012.433,1.61547E+12,10000,100000000,5070
1270527.05,1.61424E+12,10000,100000000,5032
1269874.39,1.61258E+12,11339,128572921,4857
1269217.825,1.61091E+12,12678,160731684,4678
1268556.374,1.60924E+12,14017,196476289,4496
1267887.096,1.60754E+12,15356,235806736,4310
1267210.983,1.60582E+12,16694,278689636,4125
1266526.05,1.60409E+12,18033,325189089,3943
1265831.331,1.60233E+12,19372,375274384,3772
1265126.824,1.60055E+12,20711,428945521,3605
1264411.551,1.59874E+12,22050,486202500,3441
1263682.569,1.59689E+12,23389,547045321,3278
1262940.86,1.59502E+12,24728,611473984,3115
1262182.503,1.59310E+12,26067,679488489,2941
1261405.55,1.59114E+12,27405,751034025,2768
1260608.016,1.58913E+12,28744,826217536,2599
1259786.973,1.58706E+12,30083,904986889,2429
1258936.54,1.58492E+12,31422,987342084,2232
1258050.836,1.58269E+12,32761,1073283121,2050
1257127.901,1.58037E+12,34100,1162810000,1895
1256158.914,1.57794E+12,35439,1255922721,1739
1256158.914,1.57794E+12,35439,1255922721,2569
1255956.105,1.57743E+12,35837,1284290569,2492
1255741.533,1.57689E+12,36235,1312975225,2183
1255513.239,1.57631E+12,36633,1341976689,2114
1255282.005,1.57573E+12,37031,1371294961,2044
1255048.812,1.57515E+12,37429,1400930041,1973
1254810.732,1.57455E+12,37826,1430806276,1902
1254569.7,1.57395E+12,38224,1461074176,1829
1254324.749,1.57333E+12,38622,1491658884,1755
1254074.899,1.57270E+12,39020,1522560400,1682
1253820.149,1.57206E+12,39418,1553778724,1630
1253562.46,1.57142E+12,39816,1585313856,1577
1253299.871,1.57076E+12,40214,1617165796,1523
1253033.363,1.57009E+12,40612,1649334544,1468
1252760.976,1.56941E+12,41010,1681820100,1412
1252481.729,1.56871E+12,41408,1714622464,1356
1252197.582,1.56800E+12,41806,1747741636,1298
1251904.615,1.56727E+12,42204,1781177616,1239
1251604.789,1.56651E+12,42602,1814930404,1179
1251294.182,1.56574E+12,43000,1849000000,1117
1530278.187,2.34175E+12,35,1225,3553
1530141.449,2.34133E+12,198,39204,3544
1530003.731,2.34091E+12,361,130321,3536
1529867.009,2.34049E+12,523,273529,3528
1529730.273,2.34007E+12,686,470596,3519
1529594.518,2.33966E+12,849,720801,3511
1529457.783,2.33924E+12,1012,1024144,3502
1529322.043,2.33883E+12,1174,1378276,3494
1529185.308,2.33841E+12,1337,1787569,3485
1529049.555,2.33799E+12,1500,2250000,3476
1527873.754,2.33440E+12,1500,2250000,4871
1527613.232,2.33360E+12,1947,3790809,4836
1527352.698,2.33281E+12,2395,5736025,4801
1527092.18,2.33201E+12,2842,8076964,4765
1526832.645,2.33122E+12,3289,10817521,4730
1526573.097,2.33043E+12,3737,13965169,4694
1526313.567,2.32963E+12,4184,17505856,4657
1526055.005,2.32884E+12,4632,21455424,4620
1525796.459,2.32805E+12,5079,25796241,4583
1525537.916,2.32727E+12,5526,30536676,4543
1525279.36,2.32648E+12,5974,35688676,4503
1525020.821,2.32569E+12,6421,41229241,4463
1524763.265,2.32490E+12,6868,47169424,4422
1524504.716,2.32411E+12,7316,53523856,4380
1524246.184,2.32333E+12,7763,60264169,4338
1523987.639,2.32254E+12,8211,67420521,4296
1523729.111,2.32175E+12,8658,74960964,4253
1523470.585,2.32096E+12,9105,82901025,4210
1523212.047,2.32017E+12,9553,91259809,4166
1522953.526,2.31939E+12,10000,100000000,4121
1522322.038,2.31746E+12,10000,100000000,4106
1521534.083,2.31507E+12,11318,128097124,3959
1520740.264,2.31265E+12,12636,159668496,3810
1519937.655,2.31021E+12,13953,194686209,3658
